[c3v2] 40 units, jobs=4, PYTHONHASHSEED=0, burn-in=2000
[c3v2 1/40] done roll s0 in 13s | 0.2m
[c3v2 2/40] done roll s1 in 13s | 0.2m
[c3v2 3/40] done roll s2 in 13s | 0.4m
[c3v2 4/40] done transition s1 in 27s | 0.5m
[c3v2 5/40] done transition s0 in 27s | 0.5m
[c3v2 6/40] done roll s3 in 13s | 0.7m
[c3v2 7/40] done transition s2 in 27s | 0.7m
[c3v2 8/40] done roll s4 in 13s | 0.7m
[c3v2 9/40] done roll s5 in 13s | 0.9m
[c3v2 10/40] done transition s3 in 27s | 0.9m
[c3v2 11/40] done transition s4 in 27s | 1.1m
[c3v2 12/40] done roll s6 in 13s | 1.1m
[c3v2 13/40] done transition s5 in 27s | 1.1m
[c3v2 14/40] done roll s7 in 13s | 1.3m
[c3v2 15/40] done roll s8 in 13s | 1.4m
[c3v2 16/40] done transition s6 in 27s | 1.4m
[c3v2 17/40] done roll s9 in 13s | 1.6m
[c3v2 18/40] done transition s7 in 27s | 1.6m
[c3v2 19/40] done roll s10 in 13s | 1.8m
[c3v2 20/40] done transition s8 in 27s | 1.8m
[c3v2 21/40] done transition s9 in 27s | 1.8m
[c3v2 22/40] done roll s11 in 13s | 2.0m
[c3v2 23/40] done transition s10 in 27s | 2.0m
[c3v2 24/40] done roll s12 in 13s | 2.0m
[c3v2 25/40] done roll s13 in 13s | 2.3m
[c3v2 26/40] done transition s11 in 27s | 2.3m
[c3v2 27/40] done transition s12 in 27s | 2.5m
[c3v2 28/40] done roll s14 in 13s | 2.5m
[c3v2 29/40] done transition s13 in 27s | 2.5m
[c3v2 30/40] done roll s15 in 13s | 2.7m
[c3v2 31/40] done transition s14 in 27s | 2.7m
[c3v2 32/40] done roll s16 in 13s | 2.7m
[c3v2 33/40] done roll s17 in 13s | 2.9m
[c3v2 34/40] done transition s15 in 27s | 2.9m
[c3v2 35/40] done transition s16 in 27s | 3.1m
[c3v2 36/40] done roll s18 in 13s | 3.2m
[c3v2 37/40] done transition s17 in 27s | 3.2m
[c3v2 38/40] done roll s19 in 13s | 3.4m
[c3v2 39/40] done transition s18 in 27s | 3.4m
[c3v2 40/40] done transition s19 in 26s | 3.6m
C3 RERUN COMPLETE in 3.6 min
