[v2_2] 80 units, jobs=4, convention=grown_keys, z=3.0
[v2_2 1/80] done main s0 in 24s | 0.4m
[v2_2 2/80] done nocore s0 in 24s | 0.4m
[v2_2 3/80] done scramble s0 in 22s | 0.4m
[v2_2 4/80] done c3 s0 in 20s | 0.4m
[v2_2 5/80] done main s1 in 23s | 0.7m
[v2_2 6/80] done nocore s1 in 23s | 0.8m
[v2_2 7/80] done scramble s1 in 22s | 0.8m
[v2_2 8/80] done c3 s1 in 20s | 0.8m
[v2_2 9/80] done main s2 in 23s | 1.1m
[v2_2 10/80] done nocore s2 in 23s | 1.1m
[v2_2 11/80] done scramble s2 in 22s | 1.2m
[v2_2 12/80] done c3 s2 in 20s | 1.2m
[v2_2 13/80] done main s3 in 23s | 1.5m
[v2_2 14/80] done nocore s3 in 23s | 1.5m
[v2_2 15/80] done scramble s3 in 22s | 1.5m
[v2_2 16/80] done c3 s3 in 20s | 1.5m
[v2_2 17/80] done main s4 in 23s | 1.9m
[v2_2 18/80] done nocore s4 in 23s | 1.9m
[v2_2 19/80] done scramble s4 in 22s | 1.9m
[v2_2 20/80] done c3 s4 in 20s | 1.9m
[v2_2 21/80] done main s5 in 24s | 2.3m
[v2_2 22/80] done nocore s5 in 24s | 2.3m
[v2_2 23/80] done scramble s5 in 23s | 2.3m
[v2_2 24/80] done c3 s5 in 21s | 2.3m
[v2_2 25/80] done main s6 in 24s | 2.7m
[v2_2 26/80] done nocore s6 in 24s | 2.7m
[v2_2 27/80] done scramble s6 in 23s | 2.7m
[v2_2 28/80] done c3 s6 in 21s | 2.7m
[v2_2 29/80] done main s7 in 24s | 3.1m
[v2_2 30/80] done nocore s7 in 24s | 3.1m
[v2_2 31/80] done scramble s7 in 23s | 3.1m
[v2_2 32/80] done c3 s7 in 21s | 3.1m
[v2_2 33/80] done main s8 in 24s | 3.5m
[v2_2 34/80] done nocore s8 in 24s | 3.5m
[v2_2 35/80] done scramble s8 in 23s | 3.5m
[v2_2 36/80] done c3 s8 in 21s | 3.5m
[v2_2 37/80] done main s9 in 25s | 3.9m
[v2_2 38/80] done nocore s9 in 25s | 3.9m
[v2_2 39/80] done scramble s9 in 24s | 3.9m
[v2_2 40/80] done c3 s9 in 22s | 3.9m
[v2_2 41/80] done main s10 in 24s | 4.3m
[v2_2 42/80] done nocore s10 in 24s | 4.3m
[v2_2 43/80] done scramble s10 in 23s | 4.3m
[v2_2 44/80] done c3 s10 in 21s | 4.3m
[v2_2 45/80] done main s11 in 24s | 4.6m
[v2_2 46/80] done nocore s11 in 23s | 4.7m
[v2_2 47/80] done scramble s11 in 22s | 4.7m
[v2_2 48/80] done c3 s11 in 20s | 4.7m
[v2_2 49/80] done main s12 in 23s | 5.0m
[v2_2 50/80] done nocore s12 in 23s | 5.0m
[v2_2 51/80] done scramble s12 in 22s | 5.0m
[v2_2 52/80] done c3 s12 in 20s | 5.0m
[v2_2 53/80] done main s13 in 23s | 5.4m
[v2_2 54/80] done nocore s13 in 23s | 5.4m
[v2_2 55/80] done scramble s13 in 22s | 5.4m
[v2_2 56/80] done c3 s13 in 20s | 5.4m
[v2_2 57/80] done main s14 in 24s | 5.8m
[v2_2 58/80] done nocore s14 in 24s | 5.8m
[v2_2 59/80] done scramble s14 in 23s | 5.8m
[v2_2 60/80] done c3 s14 in 20s | 5.8m
[v2_2 61/80] done main s15 in 23s | 6.2m
[v2_2 62/80] done nocore s15 in 23s | 6.2m
[v2_2 63/80] done scramble s15 in 23s | 6.2m
[v2_2 64/80] done c3 s15 in 20s | 6.2m
[v2_2 65/80] done main s16 in 23s | 6.5m
[v2_2 66/80] done nocore s16 in 23s | 6.6m
[v2_2 67/80] done scramble s16 in 22s | 6.6m
[v2_2 68/80] done c3 s16 in 20s | 6.6m
[v2_2 69/80] done main s17 in 23s | 6.9m
[v2_2 70/80] done nocore s17 in 23s | 6.9m
[v2_2 71/80] done scramble s17 in 22s | 6.9m
[v2_2 72/80] done c3 s17 in 20s | 6.9m
[v2_2 73/80] done main s18 in 24s | 7.3m
[v2_2 74/80] done nocore s18 in 24s | 7.3m
[v2_2 75/80] done scramble s18 in 23s | 7.3m
[v2_2 76/80] done c3 s18 in 20s | 7.3m
[v2_2 77/80] done main s19 in 23s | 7.7m
[v2_2 78/80] done nocore s19 in 23s | 7.7m
[v2_2 79/80] done scramble s19 in 22s | 7.7m
[v2_2 80/80] done c3 s19 in 20s | 7.7m
V2-2 QUALIFICATION COMPLETE in 7.7 min
