[v2_3] 80 units, jobs=4, archs=('keyring', 'menu'), z=3.0
[v2_3 1/80] done main s0 (dial 2) in 15s | 0.3m
[v2_3 2/80] done nocore s0 (dial 2) in 15s | 0.3m
[v2_3 3/80] done scramble s0 (dial 2) in 13s | 0.3m
[v2_3 4/80] done c3 s0 (dial 2) in 18s | 0.3m
[v2_3 5/80] done main s1 (dial 2) in 17s | 0.5m
[v2_3 6/80] done nocore s1 (dial 2) in 16s | 0.5m
[v2_3 7/80] done scramble s1 (dial 2) in 14s | 0.5m
[v2_3 8/80] done c3 s1 (dial 2) in 19s | 0.6m
[v2_3 9/80] done main s2 (dial 2) in 15s | 0.8m
[v2_3 10/80] done nocore s2 (dial 2) in 15s | 0.8m
[v2_3 11/80] done scramble s2 (dial 2) in 13s | 0.8m
[v2_3 12/80] done c3 s2 (dial 2) in 18s | 0.9m
[v2_3 13/80] done main s3 (dial 2) in 17s | 1.0m
[v2_3 14/80] done nocore s3 (dial 2) in 15s | 1.0m
[v2_3 15/80] done scramble s3 (dial 2) in 13s | 1.0m
[v2_3 16/80] done c3 s3 (dial 2) in 18s | 1.2m
[v2_3 17/80] done main s4 (dial 2) in 16s | 1.3m
[v2_3 18/80] done nocore s4 (dial 2) in 15s | 1.3m
[v2_3 19/80] done scramble s4 (dial 2) in 11s | 1.3m
[v2_3 20/80] done c3 s4 (dial 2) in 18s | 1.6m
[v2_3 21/80] done main s5 (dial 2) in 12s | 1.6m
[v2_3 22/80] done nocore s5 (dial 2) in 11s | 1.6m
[v2_3 23/80] done scramble s5 (dial 2) in 14s | 1.6m
[v2_3 24/80] done c3 s5 (dial 2) in 18s | 1.8m
[v2_3 25/80] done main s6 (dial 2) in 16s | 1.8m
[v2_3 26/80] done nocore s6 (dial 2) in 15s | 1.8m
[v2_3 27/80] done scramble s6 (dial 2) in 14s | 1.8m
[v2_3 28/80] done c3 s6 (dial 2) in 18s | 2.1m
[v2_3 29/80] done main s7 (dial 2) in 15s | 2.1m
[v2_3 30/80] done nocore s7 (dial 2) in 15s | 2.1m
[v2_3 31/80] done scramble s7 (dial 2) in 13s | 2.1m
[v2_3 32/80] done c3 s7 (dial 2) in 18s | 2.3m
[v2_3 33/80] done main s8 (dial 2) in 12s | 2.3m
[v2_3 34/80] done nocore s8 (dial 2) in 11s | 2.3m
[v2_3 35/80] done scramble s8 (dial 2) in 13s | 2.3m
[v2_3 36/80] done c3 s8 (dial 2) in 18s | 2.5m
[v2_3 37/80] done main s9 (dial 2) in 15s | 2.5m
[v2_3 38/80] done nocore s9 (dial 2) in 15s | 2.5m
[v2_3 39/80] done scramble s9 (dial 2) in 13s | 2.6m
[v2_3 40/80] done c3 s9 (dial 2) in 18s | 2.8m
[v2_3 41/80] done main s10 (dial 2) in 15s | 2.8m
[v2_3 42/80] done nocore s10 (dial 2) in 15s | 2.8m
[v2_3 43/80] done scramble s10 (dial 2) in 13s | 2.8m
[v2_3 44/80] done c3 s10 (dial 2) in 18s | 3.1m
[v2_3 45/80] done main s11 (dial 2) in 16s | 3.1m
[v2_3 46/80] done nocore s11 (dial 2) in 15s | 3.1m
[v2_3 47/80] done scramble s11 (dial 2) in 13s | 3.1m
[v2_3 48/80] done c3 s11 (dial 2) in 19s | 3.4m
[v2_3 49/80] done main s12 (dial 2) in 11s | 3.4m
[v2_3 50/80] done nocore s12 (dial 2) in 12s | 3.4m
[v2_3 51/80] done scramble s12 (dial 2) in 14s | 3.4m
[v2_3 52/80] done c3 s12 (dial 2) in 18s | 3.6m
[v2_3 53/80] done main s13 (dial 2) in 11s | 3.6m
[v2_3 54/80] done nocore s13 (dial 2) in 15s | 3.6m
[v2_3 55/80] done scramble s13 (dial 2) in 14s | 3.6m
[v2_3 56/80] done c3 s13 (dial 2) in 18s | 3.8m
[v2_3 57/80] done main s14 (dial 2) in 17s | 3.9m
[v2_3 58/80] done nocore s14 (dial 2) in 15s | 3.9m
[v2_3 59/80] done scramble s14 (dial 2) in 14s | 3.9m
[v2_3 60/80] done c3 s14 (dial 2) in 18s | 4.1m
[v2_3 61/80] done main s15 (dial 2) in 12s | 4.1m
[v2_3 62/80] done nocore s15 (dial 2) in 15s | 4.1m
[v2_3 63/80] done scramble s15 (dial 2) in 13s | 4.1m
[v2_3 64/80] done c3 s15 (dial 2) in 19s | 4.4m
[v2_3 65/80] done main s16 (dial 2) in 12s | 4.4m
[v2_3 66/80] done nocore s16 (dial 2) in 11s | 4.4m
[v2_3 67/80] done scramble s16 (dial 3) in 19s | 4.4m
[v2_3 68/80] done c3 s16 (dial 2) in 18s | 4.6m
[v2_3 69/80] done main s17 (dial 2) in 15s | 4.6m
[v2_3 70/80] done nocore s17 (dial 2) in 15s | 4.6m
[v2_3 71/80] done scramble s17 (dial 2) in 14s | 4.7m
[v2_3 72/80] done c3 s17 (dial 2) in 18s | 4.9m
[v2_3 73/80] done main s18 (dial 2) in 11s | 4.9m
[v2_3 74/80] done nocore s18 (dial 2) in 15s | 4.9m
[v2_3 75/80] done scramble s18 (dial 2) in 14s | 4.9m
[v2_3 76/80] done c3 s18 (dial 2) in 18s | 5.1m
[v2_3 77/80] done main s19 (dial 2) in 16s | 5.1m
[v2_3 78/80] done nocore s19 (dial 2) in 15s | 5.1m
[v2_3 79/80] done scramble s19 (dial 2) in 13s | 5.1m
[v2_3 80/80] done c3 s19 (dial 2) in 16s | 5.4m
V2-3 QUALIFICATION COMPLETE in 5.4 min
